m/z	SN	QualityFactor	Resolution	intensity	area
1011.588	18.905	12617.2	7450.6	1388.9	368.1
1045.515	71.792	20788.8	7128.9	5228.5	1520.6
1067.512	7.651	2365.0	6553.0	549.8	179.4
1074.589	2.049	65.1	7285.0	146.9	43.5
1101.458	4.192	122.4	3627.5	298.8	183.6
1102.012	3.122	103.8	3850.8	222.3	130.0
1153.389	3.502	107.4	2183.2	248.1	274.3
1296.683	134.953	78590.4	9514.6	9299.3	2938.0
1314.663	2.349	247.5	4874.9	161.4	100.4
1318.660	11.815	7221.0	9679.5	811.3	258.7
1338.820	15.848	12777.4	8695.7	1096.2	401.7
1352.608	8.859	2073.1	6961.1	605.1	279.3
1354.608	5.051	548.0	7487.6	344.7	148.0
1356.606	2.142	91.2	5502.2	146.1	84.7
1374.622	2.623	108.2	5095.2	178.3	116.2
1390.576	2.579	111.2	7004.9	174.9	83.8
1467.307	8.967	2241.6	8454.4	588.2	256.6
1529.741	2.728	325.3	7534.6	173.8	92.3
1570.680	68.722	38410.6	10504.9	4296.8	1741.4
1592.665	4.030	428.6	7300.4	248.8	146.9
1598.699	2.103	240.4	5323.8	129.5	105.9
1626.602	2.142	98.8	4868.0	130.4	119.9
1666.002	6.708	1349.4	7952.5	404.6	239.6
2097.940	2.669	280.0	5935.7	118.9	153.2
2101.187	2.045	81.5	6819.3	92.2	91.5
2112.014	7.123	665.1	4666.7	318.2	464.3
2130.231	2.719	42.4	4336.7	115.0	201.6
2131.992	4.246	446.7	19785.8	259.2	155.1
2132.944	17.550	6946.4	4669.7	766.4	1171.1
2145.218	11.169	36.3	22409.9	498.1	158.7
2147.195	186.091	33199.7	11187.3	8151.2	5141.7
2154.940	2.046	145.9	3209.9	82.3	191.9
2160.168	2.927	54.5	12638.8	125.6	69.4
2163.183	6.718	1632.5	9576.3	288.6	212.7
2169.176	16.791	9643.9	11608.3	721.9	443.0
2179.182	2.875	544.6	19415.2	128.1	49.7
2185.147	6.516	2157.5	12745.5	274.2	155.7
2203.116	23.589	11220.5	11942.2	974.8	600.4
2206.113	8.798	1017.2	13076.0	365.2	203.7
2211.106	46.668	35008.9	11924.9	1932.8	1203.0
2225.112	17.194	27155.5	13769.9	698.9	376.8
2233.078	24.323	25770.5	13092.0	994.6	568.7
2248.079	5.772	804.1	10564.7	232.7	163.7
2260.061	3.917	394.8	10185.5	155.4	114.5
2263.062	2.277	51.0	9816.3	90.2	68.8
2267.015	3.700	169.6	8021.3	145.3	134.9
2267.527	2.207	72.0	4390.7	86.7	147.3
2270.044	3.478	370.2	15455.5	137.7	67.2
2283.173	23.805	31063.4	12563.7	922.9	559.5
2299.173	6.323	936.9	9593.2	242.0	193.8
2305.144	7.993	1595.8	8217.8	306.1	285.8
2707.413	2.433	170.1	7370.6	64.4	84.8
2779.464	3.122	255.1	3667.8	72.9	207.1
2893.901	3.422	58.8	5995.8	74.4	134.5
2896.223	7.668	366.7	5698.7	167.0	315.3
2918.247	10.180	1339.1	5702.1	216.1	423.6
2932.589	104.307	33606.3	12509.7	2200.0	1981.4
2948.577	12.119	2964.3	9608.4	254.2	296.4
2954.560	8.137	1582.5	10156.7	169.7	187.4
2970.556	3.302	151.9	9872.9	67.7	77.3
2989.526	5.752	1975.3	11449.7	117.2	120.2
3323.770	9.131	1242.9	8579.2	137.6	222.7
3337.790	14.445	7281.0	12248.8	215.9	248.5


