m/z	SN	QualityFactor	Resolution	intensity	area
1011.591	6.603	9637.2	9370.5	1440.5	311.1
1028.494	2.535	654.4	5022.1	555.5	225.3
1045.515	8.040	11623.4	10240.4	1799.7	373.3
1105.539	3.116	779.6	8701.5	729.3	191.9
1143.603	2.767	932.8	7546.4	661.9	212.3
1155.623	3.018	175.3	8104.7	720.3	225.8
1187.609	2.612	274.4	8263.9	630.3	196.4
1198.689	23.439	41100.6	8605.0	5755.4	1797.4
1203.611	3.318	840.1	9445.7	821.8	232.7
1215.627	2.037	292.0	8994.4	500.1	150.9
1220.635	4.657	1279.4	9288.8	1134.1	340.4
1228.637	2.722	196.2	9074.9	677.1	209.8
1234.642	3.189	272.8	6573.0	776.1	322.4
1240.660	2.455	83.3	9083.9	606.9	180.8
1267.655	3.584	444.2	9747.0	876.9	264.6
1269.681	5.336	1558.2	8864.6	1303.2	437.4
1274.681	5.024	2021.9	9212.5	1234.6	402.4
1287.671	2.417	135.2	10536.6	595.0	171.7
1292.660	2.782	335.8	10452.0	679.5	199.3
1296.680	23.917	67013.0	9173.4	5933.9	1987.2
1303.664	2.257	233.7	8026.7	553.0	204.8
1314.659	3.143	254.3	7583.8	771.2	317.5
1325.727	4.464	1115.7	9535.0	1104.8	365.0
1335.703	4.356	239.9	9097.2	1062.0	366.2
1340.209	2.064	137.6	4829.1	503.7	328.5
1341.692	5.393	582.0	7913.7	1313.0	517.7
1347.703	2.045	139.5	7191.4	499.2	218.6
1361.691	2.320	105.8	8150.4	569.2	226.8
1377.643	6.110	2285.1	7031.0	1498.5	714.1
1383.696	2.857	509.2	5062.7	701.3	456.5
1385.732	2.206	345.1	9535.6	546.7	192.8
1390.760	8.689	6515.2	9052.9	2152.2	825.7
1395.727	2.225	217.3	7089.4	550.8	261.0
1399.691	2.825	277.4	4766.1	696.6	493.3
1406.704	14.097	22767.7	9238.7	3501.2	1321.8
1413.746	3.045	125.0	8175.4	754.5	318.1
1419.729	2.099	114.6	7811.1	521.9	231.7
1428.711	19.758	16506.5	8873.1	4936.0	1988.6
1441.722	3.085	283.9	8883.0	768.2	314.5
1449.764	2.633	231.6	7258.6	656.2	327.0
1459.708	6.262	3722.8	9311.6	1575.7	631.7
1465.721	2.523	146.7	5761.1	629.1	401.8
1477.755	2.606	414.7	8587.2	656.8	287.9
1481.826	2.152	110.7	5504.2	536.8	375.1
1486.752	2.668	119.3	8907.4	670.2	285.5
1494.739	14.525	5484.6	8260.1	3626.9	1685.1
1496.804	4.541	666.6	11819.4	1164.5	375.1
1501.756	5.215	1784.1	8097.6	1313.9	633.1
1510.730	3.373	702.5	9778.0	845.1	344.8
1517.763	2.038	88.7	8105.8	512.0	247.5
1523.782	3.007	276.0	11530.7	769.9	275.9
1529.740	13.523	21826.9	9509.7	3384.5	1450.8
1546.797	2.553	335.9	13584.3	650.6	206.6
1552.725	2.276	117.2	4477.9	567.4	519.1
1554.759	6.373	1810.4	7001.5	1595.3	946.4
1562.805	2.814	269.1	10847.9	701.3	275.4
1570.689	15.509	8982.4	7937.1	3896.9	2071.7
1580.772	3.571	837.4	9296.1	899.5	418.0
1585.800	2.188	213.9	6383.4	542.8	365.6
1589.862	2.440	163.5	12393.3	609.8	214.4
1609.793	2.572	149.6	7966.4	635.8	352.3
1612.890	2.671	128.3	4810.0	660.5	601.4
1628.791	14.745	10810.0	8617.2	3631.2	1933.5
1647.826	2.790	196.4	8915.3	683.2	354.3
1650.816	4.414	1085.8	8323.1	1079.9	602.8
1714.904	4.269	1314.0	11652.7	1037.7	457.2
1739.922	2.982	404.7	9529.6	709.4	383.7
1750.939	2.245	266.0	3455.9	529.3	789.0
1752.879	2.157	211.3	11460.7	508.6	234.7
1762.862	3.638	399.6	8168.5	849.4	555.7
1776.889	5.805	3074.3	11690.5	1342.3	642.7
1790.914	2.773	211.4	16817.2	638.5	220.8
1850.122	3.056	754.8	10604.9	678.2	376.5
1905.994	8.878	16375.5	9919.0	1852.8	1138.7
1928.987	2.076	340.6	11563.4	417.1	220.8
1936.055	3.920	956.4	11040.9	780.4	434.5
